,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
91,4EFB.02.182,1.276413702590168e-08,2.531331643048408e-07,5.385666258765439e-12,1.604231439495852e-10,5.325089157194775e-05,1.652710865440414e-08,0.0171240777832007,0.0007449540877676363,2.518404291447011e-06,2.905376039627633e-05
92,4EFB.02.183,2.960638214167296e-08,2.897592856276856e-07,4.436393125837273e-07,9.159105565286475e-10,2.457433819925598e-05,5.002665826638015e-10,0.01000867603469321,9.279865866985778e-05,0.0008804294504137986,1.151615095602768e-05
93,4EFB.02.184,1.390483748172378e-07,1.776082277305975e-06,8.682434990460424e-06,2.712147551287087e-10,2.094761177010214e-05,1.198238063825713e-07,0.002503665299759879,0.0002414782375662651,4.570260766565722e-06,4.217406443710071e-05
94,4EFB.02.185,2.243728077900199e-09,2.303752671068649e-14,2.396101706282129e-08,9.761880791119342e-10,9.027343668805405e-08,1.993922271942716e-35,0.02287294319973692,1.460663874035647e-08,2.769461583386425e-40,1.925600086255958e-05
95,4EFB.02.186,1.962668927930006e-05,0.0001361095199088983,4.796657272445499e-11,1.229284817975513e-06,5.937962604817629e-08,5.794064285010072e-09,0.01346116595780757,0.0005056187740239057,1.960521444822769e-05,1.159653854908864e-05
96,4EFB.02.187,8.07854740978629e-06,9.918226636173588e-07,8.348904478219432e-06,9.608592353908685e-18,0.0001177280596130307,5.521514954422047e-18,1.181852035360315e-21,0.0005580628143809193,2.064291917950327e-20,3.59606961180038e-11
97,4EFB.02.188,0.0007842380535301818,3.994964003176406e-06,5.711569814186719e-06,2.202307893527261e-11,0.0001930858645493145,5.326290355778501e-10,0.01182095913886061,0.0006790489349078975,1.752980718589085e-08,1.6583185395815e-05
98,4EFB.02.189,1.277062415391676e-06,1.201719806241326e-06,1.907444750365833e-07,1.881159101088153e-07,3.91414951222697e-06,1.595909527712371e-06,0.01036519031449719,0.0005984176608501428,2.587710684970513e-06,2.202513359107655e-08
99,5408.03.19,0.0001131402428048294,4.199047103300932e-06,1.05907726812874e-05,1.922595810357122e-06,4.968012644231279e-08,6.239946604124604e-09,5.777795060126039e-05,6.834731849414073e-10,2.104633253111821e-10,8.43007331075282e-10
100,5408.03.190,1.577982316071768e-06,2.271214488784091e-05,6.789655970761223e-06,1.600404685652041e-09,2.339701753968336e-07,2.337199662653752e-11,1.959248853770879e-08,1.54514493463135e-09,1.077217158830728e-09,3.638903882847453e-10
101,5408.03.191,2.897024984239032e-09,2.359689600399656e-05,4.01873312993994e-05,0.0122353527001897,1.027790797382206e-07,7.726503902688655e-07,2.720668945612237e-07,1.702081251478057e-11,1.700348188196233e-10,9.477592641212295e-07
102,5408.03.192,0.001863178999317963,0.0003049541711937929,1.116217197649033e-05,1.881573515579519e-06,4.20896277699748e-08,3.795848029900844e-08,1.956226539398305e-05,2.469181847362654e-05,8.202412464761916e-08,3.262635495315472e-08
103,5408.03.193,1.033430135543885e-06,1.371913089571586e-08,0.0002122159050117835,0.01336665774670277,5.312421322674641e-05,3.222102545441026e-07,6.361676632954459e-05,1.904777872954379e-08,9.386210956666989e-07,3.959987748517317e-05
104,5408.03.194,2.839188790510256e-09,1.03085696692029e-11,2.815741963344491e-07,0.01119455503877185,9.966912830399037e-06,1.118829800108463e-08,2.132751575957876e-06,2.869475658213859e-10,2.917038402845669e-07,6.156315777216202e-10
105,5408.03.195,1.850882529602293e-11,0.0004291459440212171,7.706474858450455e-06,3.622966334675496e-06,4.119491470341348e-08,7.052683791965935e-07,3.505691215178325e-05,4.716652444083524e-08,2.722928631147881e-06,2.794295083066501e-05
106,5408.03.196,0.003948222997209984,0.001133265169721882,8.695236969708442e-08,0.01343429924735834,1.313726685823774e-15,1.957941565314055e-09,1.618145060658526e-05,8.99201268202602e-06,3.412330106939071e-09,8.860695660391903e-10
107,5408.03.197,2.912092796564843e-10,5.306052639816991e-07,4.058983739128866e-07,3.273444003292328e-09,5.57722943554051e-11,5.807397785293502e-15,1.307490077682173e-08,3.366846905901737e-12,3.344639448987413e-13,8.037084514510664e-08
108,5408.03.198,3.499927903173579e-09,8.430029961985338e-23,5.77124507823883e-11,8.781543868341222e-07,5.338164970992395e-09,2.737390301284593e-09,3.087833744056005e-12,1.591922351289317e-10,2.266756252656923e-11,2.842376094208948e-07
109,5408.03.199,7.97882825348605e-06,8.143900071151963e-05,4.279476075899527e-07,0.01165803647867109,6.595377530646462e-09,4.562712623110217e-06,7.185424484231146e-15,3.207443665507558e-09,9.736293400006772e-08,1.826062424099291e-09
110,5408.03.2,3.288181270501055e-10,7.689664140426427e-17,1.002009673704428e-05,0.01010640464442276,9.829117157286581e-08,1.365145875962086e-08,1.774205689476098e-06,1.494541016252925e-06,9.984978959994747e-11,2.533764390078052e-06
111,5408.03.20,0.0004862887739322359,1.498852516165958e-07,6.92269149588731e-05,5.190743112972378e-06,1.827509112874765e-07,3.378496057740178e-09,4.342151835088016e-12,3.415308876120457e-07,4.188665347782046e-11,5.137019982280887e-10
112,5408.03.200,1.180854413471282e-12,5.133317761771491e-05,5.070341119182344e-14,3.498044519871746e-10,2.758848963301139e-09,1.853599354481749e-11,8.055768601285818e-05,2.762622756471672e-05,1.169752104120043e-10,3.1702569798537e-07
113,5408.03.21,0.0009027385594616198,4.937118188433456e-05,2.16390668369326e-05,0.01247601432404142,1.054395997353646e-05,2.248051893945719e-08,4.030125991854313e-05,2.920853894860748e-05,7.235852481053751e-07,2.815851688119174e-06
